name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
Luke Skywalker,172.0,77.0,blond,fair,blue,19BBY,male,Tatooine,Human
C-3PO,167.0,75.0,,gold,yellow,112BBY,,Tatooine,Droid
R2-D2,96.0,32.0,,"white, blue",red,33BBY,,Naboo,Droid
Darth Vader,202.0,136.0,none,white,yellow,41.9BBY,male,Tatooine,Human
Leia Organa,150.0,49.0,brown,light,brown,19BBY,female,Alderaan,Human
Owen Lars,178.0,120.0,"brown, grey",light,blue,52BBY,male,Tatooine,Human
Beru Whitesun lars,165.0,75.0,brown,light,blue,47BBY,female,Tatooine,Human
R5-D4,97.0,32.0,,"white, red",red,,,Tatooine,Droid
Biggs Darklighter,183.0,84.0,black,light,brown,24BBY,male,Tatooine,Human
Obi-Wan Kenobi,182.0,77.0,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,Human
Anakin Skywalker,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,Human
Wilhuff Tarkin,180.0,,"auburn, grey",fair,blue,64BBY,male,Eriadu,Human
Chewbacca,228.0,112.0,brown,,blue,200BBY,male,Kashyyyk,Wookiee
Han Solo,180.0,80.0,brown,fair,brown,29BBY,male,Corellia,Human
Greedo,173.0,74.0,,green,black,44BBY,male,Rodia,Rodian
Jabba Desilijic Tiure,175.0,1358.0,,"green-tan, brown",orange,600BBY,hermaphrodite,Nal Hutta,Hutt
Wedge Antilles,170.0,77.0,brown,fair,hazel,21BBY,male,Corellia,Human
Jek Tono Porkins,180.0,110.0,brown,fair,blue,,male,Bestine IV,Human
Yoda,66.0,17.0,white,green,brown,896BBY,male,,Yoda's species
Palpatine,170.0,75.0,grey,pale,yellow,82BBY,male,Naboo,Human
Boba Fett,183.0,78.2,black,fair,brown,31.5BBY,male,Kamino,Human
IG-88,200.0,140.0,none,metal,red,15BBY,none,,Droid
Bossk,190.0,113.0,none,green,red,53BBY,male,Trandosha,Trandoshan
Lando Calrissian,177.0,79.0,black,dark,brown,31BBY,male,Socorro,Human
Lobot,175.0,79.0,none,light,blue,37BBY,male,Bespin,Human
Ackbar,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari
Mon Mothma,150.0,,auburn,fair,blue,48BBY,female,Chandrila,Human
Arvel Crynyd,,,brown,fair,brown,,male,,Human
Wicket Systri Warrick,88.0,20.0,brown,brown,brown,8BBY,male,Endor,Ewok
Nien Nunb,160.0,68.0,none,grey,black,,male,Sullust,Sullustan
Qui-Gon Jinn,193.0,89.0,brown,fair,blue,92BBY,male,,Human
Nute Gunray,191.0,90.0,none,mottled green,red,,male,Cato Neimoidia,Neimodian
Finis Valorum,170.0,,blond,fair,blue,91BBY,male,Coruscant,Human
Jar Jar Binks,196.0,66.0,none,orange,orange,52BBY,male,Naboo,Gungan
Roos Tarpals,224.0,82.0,none,grey,orange,,male,Naboo,Gungan
Rugor Nass,206.0,,none,green,orange,,male,Naboo,Gungan
Ric Olié,183.0,,brown,fair,blue,,male,Naboo,
Watto,137.0,,black,"blue, grey",yellow,,male,Toydaria,Toydarian
Sebulba,112.0,40.0,none,"grey, red",orange,,male,Malastare,Dug
Quarsh Panaka,183.0,,black,dark,brown,62BBY,male,Naboo,
Shmi Skywalker,163.0,,black,fair,brown,72BBY,female,Tatooine,Human
Darth Maul,175.0,80.0,none,red,yellow,54BBY,male,Dathomir,Zabrak
Bib Fortuna,180.0,,none,pale,pink,,male,Ryloth,Twi'lek
Ayla Secura,178.0,55.0,none,blue,hazel,48BBY,female,Ryloth,Twi'lek
Dud Bolt,94.0,45.0,none,"blue, grey",yellow,,male,Vulpter,Vulptereen
Gasgano,122.0,,none,"white, blue",black,,male,Troiken,Xexto
Ben Quadinaros,163.0,65.0,none,"grey, green, yellow",orange,,male,Tund,Toong
Mace Windu,188.0,84.0,none,dark,brown,72BBY,male,Haruun Kal,Human
Ki-Adi-Mundi,198.0,82.0,white,pale,yellow,92BBY,male,Cerea,Cerean
Kit Fisto,196.0,87.0,none,green,black,,male,Glee Anselm,Nautolan
Eeth Koth,171.0,,black,brown,brown,,male,Iridonia,Zabrak
Adi Gallia,184.0,50.0,none,dark,blue,,female,Coruscant,Tholothian
Saesee Tiin,188.0,,none,pale,orange,,male,Iktotch,Iktotchi
Yarael Poof,264.0,,none,white,yellow,,male,Quermia,Quermian
Plo Koon,188.0,80.0,none,orange,black,22BBY,male,Dorin,Kel Dor
Mas Amedda,196.0,,none,blue,blue,,male,Champala,Chagrian
Gregar Typho,185.0,85.0,black,dark,brown,,male,Naboo,Human
Cordé,157.0,,brown,light,brown,,female,Naboo,Human
Cliegg Lars,183.0,,brown,fair,blue,82BBY,male,Tatooine,Human
Poggle the Lesser,183.0,80.0,none,green,yellow,,male,Geonosis,Geonosian
Luminara Unduli,170.0,56.2,black,yellow,blue,58BBY,female,Mirial,Mirialan
Barriss Offee,166.0,50.0,black,yellow,blue,40BBY,female,Mirial,Mirialan
Dormé,165.0,,brown,light,brown,,female,Naboo,Human
Dooku,193.0,80.0,white,fair,brown,102BBY,male,Serenno,Human
Bail Prestor Organa,191.0,,black,tan,brown,67BBY,male,Alderaan,Human
Jango Fett,183.0,79.0,black,tan,brown,66BBY,male,Concord Dawn,Human
Zam Wesell,168.0,55.0,blonde,"fair, green, yellow",yellow,,female,Zolan,Clawdite
Dexter Jettster,198.0,102.0,none,brown,yellow,,male,Ojom,Besalisk
Lama Su,229.0,88.0,none,grey,black,,male,Kamino,Kaminoan
Taun We,213.0,,none,grey,black,,female,Kamino,Kaminoan
Jocasta Nu,167.0,,white,fair,blue,,female,Coruscant,Human
Ratts Tyerell,79.0,15.0,none,"grey, blue",,,male,Aleen Minor,Aleena
R4-P17,96.0,,none,"silver, red","red, blue",,female,,
Wat Tambor,193.0,48.0,none,"green, grey",,,male,Skako,Skakoan
San Hill,191.0,,none,grey,gold,,male,Muunilinst,Muun
Shaak Ti,178.0,57.0,none,"red, blue, white",black,,female,Shili,Togruta
Grievous,216.0,159.0,none,"brown, white","green, yellow",,male,Kalee,Kaleesh
Tarfful,234.0,136.0,brown,brown,blue,,male,Kashyyyk,Wookiee
Raymus Antilles,188.0,79.0,brown,light,brown,,male,Alderaan,Human
Sly Moore,178.0,48.0,none,pale,white,,female,Umbara,
Tion Medon,206.0,80.0,none,grey,black,,male,Utapau,Pau'an
Finn,,,black,dark,dark,,male,,Human
Rey,,,brown,light,hazel,,female,,Human
Poe Dameron,,,brown,light,brown,,male,,Human
BB8,,,none,none,black,,none,,Droid
Captain Phasma,,,,,,,female,,
Padmé Amidala,165.0,45.0,brown,light,brown,46BBY,female,Naboo,Human
